University,Major,Key,Level,Language,Tuition Covered,Accomodation covered?,Living Expense Covered?,Tuition fees to pay,Percentage tuition covered,Original Tuition fee,Start_Month,Start_Year,Accomodation_To_Pay,Expense_To_Pay
China University of Petroleum - Beijing,Chemical Engineering and Technology(Petrochemical engineering and oil refining),Chemical Engineering,Bachelor,Chinese,16000,0,0,9000,64,25000,Sep,2019,1500,1500
China University of Petroleum - Beijing,Reconnaissance Technology and Engineering,Other Engineering,Bachelor,Chinese,16000,0,0,9000,64,25000,Sep,2019,1500,1500
Changzhou Institute of Technology,Animation,Arts,Bachelor,Chinese,11000,1,0,9000,55,20000,Sep,2019,4000,1500
Changzhou Institute of Technology,Product Design,Product Design,Bachelor,Chinese,11000,1,0,9000,55,20000,Sep,2019,4000,1500
Changzhou Institute of Technology,Architecture,Architecture,Bachelor,Chinese,7000,1,0,9000,43.75,16000,Sep,2019,4000,1500
China University of Petroleum - Beijing,Finance,Finance,Bachelor,Chinese,25000,1,1,0,100,25000,Sep,2019,750,750
China University of Petroleum - Beijing,Petroleum Engineering,Other Engineering,Bachelor,Chinese,25000,1,1,0,100,25000,Sep,2019,750,750
China University of Petroleum - Beijing,Reconnaissance Technology and Engineering,Other Engineering,Bachelor,Chinese,25000,1,1,0,100,25000,Sep,2019,750,750
China University of Petroleum - Beijing,Chemical Engineering and Technology(Petrochemical engineering and oil refining),Chemical Engineering,Bachelor,Chinese,25000,1,1,0,100,25000,Sep,2019,750,750
China University of Petroleum - Beijing,"Petroleum Engineering (Oil and Natural Gas Drilling, Developing and Ocean Engineering)",Other Engineering,Bachelor,English,25000,1,1,0,100,25000,Sep,2019,750,750
China University of Petroleum - Beijing,"Mechanical Design, Manufacture and Automation",Automation,Bachelor,Chinese,25000,1,1,0,100,25000,Sep,2019,750,750
China University of Petroleum - Beijing,Oil and Gas Storage and Transportation Engineering,Oil and Gas,Bachelor,Chinese,25000,1,1,0,100,25000,Sep,2019,750,750
Shanghai Ocean University ,Aquatic Animal Medicine,Medicine,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Korean Language and Literature,Korean,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Japanese Language and Literature,Japanese,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Social Work ,Social Work ,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Public Administration,Public Administration,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,English Language and Literature,English,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Environmental Engineering,Environmental Science,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Environmental Science,Environmental Science,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Business Administration,Business Administration,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Logistics Management,Other Management,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,International Economy & Trade,Economics,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Finance,Finance,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Marketing,Marketing,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Accounting,Accounting,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Agricultural Economics and Management,Economics,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Biopharmaceuticals,Pharmacy,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Built Environment and Energy Engineering,Other Engineering,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Packaging Engineering,Other Engineering,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Food Quality and Safety,Food,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Logistics Engineering,Other Engineering,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
Shanghai Ocean University ,Food Science and Engineering,Food,Bachelor,Chinese,32000,0,0,16000,66.66666667,48000,Sep,2019,1500,1000
